Таблица узлов (1)-Учебная версия;;;;;;;;;
;Координаты;;;Связи;;;;;
№ узла;X (м);Y (м);Z (м);X;Y;Z;UX;UY;UZ
110;-55.992199;-5.99997;3;-;-;-;-;-;-
111;-55.036701;-5.99997;3;-;-;-;-;-;-
112;-54.0811;-5.99997;3;-;-;-;-;-;-
113;-53.125599;-5.99997;3;-;-;-;-;-;-
114;-52.169998;-5.99997;3;-;-;-;-;-;-
115;-51.96999;-5.99997;3;-;-;-;-;-;-
116;-60.970001;-11.99997;3;-;-;-;-;-;-
117;-60.77;-11.99997;3;-;-;-;-;-;-
118;-59.8144;-11.99997;3;-;-;-;-;-;-
119;-58.858891;-11.99997;3;-;-;-;-;-;-
120;-57.903301;-11.99997;3;-;-;-;-;-;-
121;-56.9478;-11.99997;3;-;-;-;-;-;-
122;-55.992199;-11.99997;3;-;-;-;-;-;-
123;-55.036701;-11.99997;3;-;-;-;-;-;-
124;-54.0811;-11.99997;3;-;-;-;-;-;-
125;-53.125599;-11.99997;3;-;-;-;-;-;-
126;-52.169998;-11.99997;3;-;-;-;-;-;-
127;-51.96999;-11.99997;3;-;-;-;-;-;-
128;-60.970001;-17.999969;3;-;-;-;-;-;-
129;-60.77;-17.999969;3;-;-;-;-;-;-
130;-59.8144;-17.999969;3;-;-;-;-;-;-
131;-58.858891;-17.999969;3;-;-;-;-;-;-
132;-57.903301;-17.999969;3;-;-;-;-;-;-
133;-56.9478;-17.999969;3;-;-;-;-;-;-
134;-55.992199;-17.999969;3;-;-;-;-;-;-
135;-55.036701;-17.999969;3;-;-;-;-;-;-
136;-54.0811;-17.999969;3;-;-;-;-;-;-
137;-53.125599;-17.999969;3;-;-;-;-;-;-
138;-52.169998;-17.999969;3;-;-;-;-;-;-
139;-51.96999;-17.999969;3;-;-;-;-;-;-
140;-69.969994;-17.999969;3;-;-;-;-;-;-
141;-69.769997;-17.999969;3;-;-;-;-;-;-
142;-68.814438;-17.999969;3;-;-;-;-;-;-
143;-67.858887;-17.999969;3;-;-;-;-;-;-
144;-66.903328;-17.999969;3;-;-;-;-;-;-
145;-65.947777;-17.999969;3;-;-;-;-;-;-
146;-64.992218;-17.999969;3;-;-;-;-;-;-
147;-64.036697;-17.999969;3;-;-;-;-;-;-
