Таблица узлов (1)-Учебная версия;;;;;;;;;
;Координаты;;;Связи;;;;;
№ узла;X (м);Y (м);Z (м);X;Y;Z;UX;UY;UZ
2023;-43.66;-20.355869;6;-;-;-;-;-;-
2024;-43.66;-19.398769;6;-;-;-;-;-;-
2025;-43.66;-21.31287;6;-;-;-;-;-;-
2026;-43.66;-22.26997;6;-;-;-;-;-;-
2027;-43.125;-22.80497;4;-;-;-;-;-;-
2028;-43.125;-22.80497;5;-;-;-;-;-;-
2029;-42.7314;-23.19857;6;-;-;-;-;-;-
2030;-43.125;-22.80497;6;-;-;-;-;-;-
2031;-51.77;3.00E-05;6;-;-;-;-;-;-
2032;-51.77;-0.19997;6;-;-;-;-;-;-
2033;-51.96999;-0.19997;6;-;-;-;-;-;-
2034;-50.96999;-4.99997;6;-;-;-;-;-;-
2035;-50.8367;-5.99997;6;-;-;-;-;-;-
2036;-51.77;-5.79997;6;-;-;-;-;-;-
2037;-51.96999;-4.86664;6;-;-;-;-;-;-
2038;-51.96999;-1.1333;6;-;-;-;-;-;-
2039;-50.96999;-0.99997;6;-;-;-;-;-;-
2040;-50.96999;-1.99997;6;-;-;-;-;-;-
2041;-51.96999;-2.06664;6;-;-;-;-;-;-
2042;-50.8367;3.00E-05;6;-;-;-;-;-;-
2043;-51.77;-5.99997;6;-;-;-;-;-;-
2044;-49.96999;-0.99997;6;-;-;-;-;-;-
2045;-49.96999;-1.99997;6;-;-;-;-;-;-
2046;-49.903301;3.00E-05;6;-;-;-;-;-;-
2047;-48.96999;3.00E-05;6;-;-;-;-;-;-
2048;-48.96999;-0.99997;6;-;-;-;-;-;-
2049;-50.96999;-2.99997;6;-;-;-;-;-;-
2050;-51.96999;-2.99997;6;-;-;-;-;-;-
2051;-48.96999;-1.99997;6;-;-;-;-;-;-
2052;-47.96999;-0.99997;6;-;-;-;-;-;-
2053;-47.96999;-1.99997;6;-;-;-;-;-;-
2054;-49.96999;-2.99997;6;-;-;-;-;-;-
2055;-48.036701;3.00E-05;6;-;-;-;-;-;-
2056;-48.96999;-2.99997;6;-;-;-;-;-;-
2057;-50.96999;-3.99997;6;-;-;-;-;-;-
2058;-51.96999;-3.9333;6;-;-;-;-;-;-
2059;-51.96999;-5.79997;6;-;-;-;-;-;-
2060;-46.169998;-0.19997;6;-;-;-;-;-;-
2061;-45.96999;-1.1333;6;-;-;-;-;-;-
2062;-46.96999;-0.99997;6;-;-;-;-;-;-
2063;-47.103291;3.00E-05;6;-;-;-;-;-;-
2064;-49.96999;-3.99997;6;-;-;-;-;-;-
2065;-48.96999;-3.99997;6;-;-;-;-;-;-
2066;-49.96999;-4.99997;6;-;-;-;-;-;-
2067;-46.169998;3.00E-05;6;-;-;-;-;-;-
2068;-49.903301;-5.99997;6;-;-;-;-;-;-
2069;-48.96999;-4.99997;6;-;-;-;-;-;-
2070;-48.96999;-5.99997;6;-;-;-;-;-;-
2071;-47.96999;-2.99997;6;-;-;-;-;-;-
2072;-46.96999;-1.99997;6;-;-;-;-;-;-
2073;-46.96999;-2.99997;6;-;-;-;-;-;-
2074;-47.96999;-3.99997;6;-;-;-;-;-;-
2075;-45.96999;-4.86664;6;-;-;-;-;-;-
2076;-45.96999;-5.79997;6;-;-;-;-;-;-
2077;-46.169998;-5.79997;6;-;-;-;-;-;-
2078;-45.96999;-0.19997;6;-;-;-;-;-;-
2079;-45.96999;-2.06664;6;-;-;-;-;-;-
2080;-45.96999;-2.99997;6;-;-;-;-;-;-
2081;-46.96999;-4.99997;6;-;-;-;-;-;-
2082;-47.103291;-5.99997;6;-;-;-;-;-;-
2083;-46.96999;-3.99997;6;-;-;-;-;-;-
2084;-47.96999;-4.99997;6;-;-;-;-;-;-
2085;-48.036701;-5.99997;6;-;-;-;-;-;-
2086;-45.96999;-3.9333;6;-;-;-;-;-;-
2087;-46.169998;-5.99997;6;-;-;-;-;-;-
2088;-59.57;-0.19997;6;-;-;-;-;-;-
2089;-59.470001;-0.74997;6;-;-;-;-;-;-
2090;-59.970001;-0.99997;6;-;-;-;-;-;-
2091;-60.77;-0.19997;6;-;-;-;-;-;-
2092;-60.77;3.00E-05;6;-;-;-;-;-;-
2093;-60.970001;-0.19997;6;-;-;-;-;-;-
2094;-59.57;3.00E-05;6;-;-;-;-;-;-
2095;-59.369999;-0.19997;6;-;-;-;-;-;-
2096;-52.169998;-5.79997;6;-;-;-;-;-;-
2097;-52.96999;-4.99997;6;-;-;-;-;-;-
2098;-60.970001;-1.1333;6;-;-;-;-;-;-
2099;-59.970001;-1.99997;6;-;-;-;-;-;-
2100;-60.970001;-2.06664;6;-;-;-;-;-;-
2101;-58.970001;-0.99997;6;-;-;-;-;-;-
2102;-58.970001;-1.99997;6;-;-;-;-;-;-
2103;-59.27;-0.50224;6;-;-;-;-;-;-
2104;-59.169998;-0.19997;6;-;-;-;-;-;-
2105;-59.169998;3.00E-05;6;-;-;-;-;-;-
2106;-58.07;3.00E-05;6;-;-;-;-;-;-
2107;-58.07;-0.19997;6;-;-;-;-;-;-
2108;-57.869999;-0.19997;6;-;-;-;-;-;-
2109;-57.669998;3.00E-05;6;-;-;-;-;-;-
2110;-57.669998;-0.19997;6;-;-;-;-;-;-
2111;-59.970001;-4.99997;6;-;-;-;-;-;-
2112;-60.77;-5.79997;6;-;-;-;-;-;-
2113;-60.970001;-4.86664;6;-;-;-;-;-;-
2114;-57.77;-0.61872;6;-;-;-;-;-;-
2115;-57.96999;-0.99997;6;-;-;-;-;-;-
2116;-56.669998;3.00E-05;6;-;-;-;-;-;-
2117;-56.96999;-0.99997;6;-;-;-;-;-;-
2118;-57.96999;-1.99997;6;-;-;-;-;-;-
2119;-56.96999;-1.99997;6;-;-;-;-;-;-
2120;-59.970001;-2.99997;6;-;-;-;-;-;-
2121;-60.970001;-2.99997;6;-;-;-;-;-;-
2122;-59.970001;-3.99997;6;-;-;-;-;-;-
2123;-60.970001;-3.9333;6;-;-;-;-;-;-
2124;-58.970001;-2.99997;6;-;-;-;-;-;-
2125;-58.970001;-3.99997;6;-;-;-;-;-;-
2126;-52.169998;-0.19997;6;-;-;-;-;-;-
2127;-52.96999;-0.99997;6;-;-;-;-;-;-
2128;-52.82;3.00E-05;6;-;-;-;-;-;-
2129;-60.970001;-5.79997;6;-;-;-;-;-;-
2130;-58.970001;-4.99997;6;-;-;-;-;-;-
2131;-52.169998;3.00E-05;6;-;-;-;-;-;-
2132;-57.96999;-2.99997;6;-;-;-;-;-;-
2133;-57.96999;-3.99997;6;-;-;-;-;-;-
2134;-56.96999;-2.99997;6;-;-;-;-;-;-
2135;-56.96999;-3.99997;6;-;-;-;-;-;-
2136;-57.96999;-4.99997;6;-;-;-;-;-;-
2137;-56.96999;-4.99997;6;-;-;-;-;-;-
2138;-55.96999;-0.99997;6;-;-;-;-;-;-
2139;-55.96999;-1.99997;6;-;-;-;-;-;-
2140;-55.669998;3.00E-05;6;-;-;-;-;-;-
2141;-54.669998;3.00E-05;6;-;-;-;-;-;-
2142;-54.96999;-0.99997;6;-;-;-;-;-;-
2143;-53.46999;3.00E-05;6;-;-;-;-;-;-
2144;-53.96999;-0.99997;6;-;-;-;-;-;-
2145;-54.96999;-1.99997;6;-;-;-;-;-;-
2146;-55.96999;-2.99997;6;-;-;-;-;-;-
2147;-54.96999;-2.99997;6;-;-;-;-;-;-
2148;-55.96999;-3.99997;6;-;-;-;-;-;-
2149;-53.96999;-1.99997;6;-;-;-;-;-;-
2150;-53.96999;-2.99997;6;-;-;-;-;-;-
2151;-54.96999;-3.99997;6;-;-;-;-;-;-
2152;-52.96999;-1.99997;6;-;-;-;-;-;-
2153;-52.96999;-2.99997;6;-;-;-;-;-;-
2154;-53.96999;-3.99997;6;-;-;-;-;-;-
2155;-55.96999;-4.99997;6;-;-;-;-;-;-
2156;-54.96999;-4.99997;6;-;-;-;-;-;-
2157;-53.96999;-4.99997;6;-;-;-;-;-;-
2158;-52.96999;-3.99997;6;-;-;-;-;-;-
2159;-66.929993;-0.28281;6;-;-;-;-;-;-
2160;-66.969994;-0.99997;6;-;-;-;-;-;-
2161;-67.760696;-0.83068;6;-;-;-;-;-;-
2162;-67.071419;-0.14139;6;-;-;-;-;-;-
2163;-68.969994;-4.99997;6;-;-;-;-;-;-
2164;-69.769997;-5.79997;6;-;-;-;-;-;-
2165;-69.969994;-4.97425;6;-;-;-;-;-;-
2166;-69.969994;-4.14853;6;-;-;-;-;-;-
2167;-69.969994;-3.32281;6;-;-;-;-;-;-
2168;-69.340027;-3.52852;6;-;-;-;-;-;-
2169;-66.969994;-1.99997;6;-;-;-;-;-;-
2170;-68.449997;-1.51997;6;-;-;-;-;-;-
2171;-66.969994;-2.99997;6;-;-;-;-;-;-
2172;-67.969994;-2.99997;6;-;-;-;-;-;-
2173;-69.828583;-2.89855;6;-;-;-;-;-;-
2174;-69.687157;-3.03997;6;-;-;-;-;-;-
2175;-69.828583;-3.18139;6;-;-;-;-;-;-
2176;-69.13929;-2.20926;6;-;-;-;-;-;-
2177;-68.969994;-2.99997;6;-;-;-;-;-;-
2178;-67.969994;-3.99997;6;-;-;-;-;-;-
2179;-68.969994;-3.99997;6;-;-;-;-;-;-
2180;-66.788567;-0.14139;6;-;-;-;-;-;-
2181;-66.630867;-0.44051;6;-;-;-;-;-;-
2182;-66.647163;3.00E-05;6;-;-;-;-;-;-
2183;-66.296654;-0.4919;6;-;-;-;-;-;-
2184;-65.734299;3.00E-05;6;-;-;-;-;-;-
2185;-65.969994;-0.99997;6;-;-;-;-;-;-
2186;-65.969994;-1.99997;6;-;-;-;-;-;-
2187;-65.969994;-2.99997;6;-;-;-;-;-;-
2188;-64.969994;-0.99997;6;-;-;-;-;-;-
2189;-64.969994;-1.99997;6;-;-;-;-;-;-
2190;-64.969994;-2.99997;6;-;-;-;-;-;-
2191;-66.969994;-3.99997;6;-;-;-;-;-;-
2192;-64.969994;-3.99997;6;-;-;-;-;-;-
2193;-65.969994;-3.99997;6;-;-;-;-;-;-
2194;-69.969994;-5.79997;6;-;-;-;-;-;-
2195;-61.169998;-5.79997;6;-;-;-;-;-;-
2196;-67.969994;-4.99997;6;-;-;-;-;-;-
2197;-66.969994;-4.99997;6;-;-;-;-;-;-
2198;-65.969994;-4.99997;6;-;-;-;-;-;-
2199;-64.969994;-4.99997;6;-;-;-;-;-;-
2200;-61.169998;-0.19997;6;-;-;-;-;-;-
2201;-61.970001;-0.99997;6;-;-;-;-;-;-
2202;-62.082901;3.00E-05;6;-;-;-;-;-;-
2203;-64.821426;3.00E-05;6;-;-;-;-;-;-
2204;-63.9086;3.00E-05;6;-;-;-;-;-;-
2205;-63.970001;-0.99997;6;-;-;-;-;-;-
2206;-62.995701;3.00E-05;6;-;-;-;-;-;-
2207;-62.970001;-0.99997;6;-;-;-;-;-;-
2208;-63.970001;-1.99997;6;-;-;-;-;-;-
2209;-63.970001;-2.99997;6;-;-;-;-;-;-
2210;-62.970001;-1.99997;6;-;-;-;-;-;-
2211;-62.970001;-2.99997;6;-;-;-;-;-;-
2212;-63.970001;-3.99997;6;-;-;-;-;-;-
2213;-61.970001;-4.99997;6;-;-;-;-;-;-
2214;-61.169998;3.00E-05;6;-;-;-;-;-;-
2215;-61.970001;-1.99997;6;-;-;-;-;-;-
2216;-61.970001;-2.99997;6;-;-;-;-;-;-
2217;-63.970001;-4.99997;6;-;-;-;-;-;-
2218;-62.970001;-3.99997;6;-;-;-;-;-;-
2219;-61.970001;-3.99997;6;-;-;-;-;-;-
2220;-62.970001;-4.99997;6;-;-;-;-;-;-
2221;-70.11142;-3.18139;6;-;-;-;-;-;-
2222;-70.792603;-3.86258;6;-;-;-;-;-;-
2223;-71.473808;-4.54378;6;-;-;-;-;-;-
2224;-70.169998;-5.99997;6;-;-;-;-;-;-
2225;-70.169998;-5.79997;6;-;-;-;-;-;-
2226;-69.969994;-6.19997;6;-;-;-;-;-;-
2227;-70.169998;-6.19997;6;-;-;-;-;-;-
2228;-70.613663;-6.09997;6;-;-;-;-;-;-
2229;-69.969994;-7.1333;6;-;-;-;-;-;-
2230;-71.0625;-6.02664;6;-;-;-;-;-;-
2231;-72.154999;-5.22497;6;-;-;-;-;-;-
2232;-69.969994;-10.86667;6;-;-;-;-;-;-
2233;-69.969994;-11.79997;6;-;-;-;-;-;-
2234;-70.169998;-11.79997;6;-;-;-;-;-;-
2235;-70.841423;-11.09187;6;-;-;-;-;-;-
2236;-71.0625;-7.02219;6;-;-;-;-;-;-
2237;-72.154999;-7.02219;6;-;-;-;-;-;-
2238;-72.154999;-6.02664;6;-;-;-;-;-;-
2239;-71.0625;-8.01775;6;-;-;-;-;-;-
2240;-72.154999;-8.01775;6;-;-;-;-;-;-
2241;-69.969994;-8.06664;6;-;-;-;-;-;-
2242;-69.969994;-8.99997;6;-;-;-;-;-;-
2243;-71.0625;-9.0133;6;-;-;-;-;-;-
2244;-69.969994;-9.9333;6;-;-;-;-;-;-
2245;-71.512863;-10.38377;6;-;-;-;-;-;-
2246;-72.154999;-9.0133;6;-;-;-;-;-;-
2247;-72.184288;-9.67567;6;-;-;-;-;-;-
2248;-68.969994;-10.99997;6;-;-;-;-;-;-
2249;-69.769997;-11.79997;6;-;-;-;-;-;-
2250;-69.769997;-6.19997;6;-;-;-;-;-;-
2251;-68.969994;-6.99997;6;-;-;-;-;-;-
2252;-68.969994;-7.99997;6;-;-;-;-;-;-
2253;-67.969994;-6.99997;6;-;-;-;-;-;-
2254;-67.969994;-7.99997;6;-;-;-;-;-;-
2255;-67.969994;-8.99997;6;-;-;-;-;-;-
2256;-68.969994;-8.99997;6;-;-;-;-;-;-
2257;-66.969994;-6.99997;6;-;-;-;-;-;-
2258;-65.969994;-6.99997;6;-;-;-;-;-;-
2259;-66.969994;-7.99997;6;-;-;-;-;-;-
2260;-66.969994;-8.99997;6;-;-;-;-;-;-
2261;-65.969994;-7.99997;6;-;-;-;-;-;-
2262;-64.969994;-6.99997;6;-;-;-;-;-;-
2263;-64.969994;-7.99997;6;-;-;-;-;-;-
2264;-65.969994;-8.99997;6;-;-;-;-;-;-
2265;-64.969994;-8.99997;6;-;-;-;-;-;-
2266;-67.969994;-9.99997;6;-;-;-;-;-;-
2267;-68.969994;-9.99997;6;-;-;-;-;-;-
2268;-67.969994;-10.99997;6;-;-;-;-;-;-
2269;-61.169998;-6.19997;6;-;-;-;-;-;-
2270;-60.970001;-7.1333;6;-;-;-;-;-;-
2271;-61.970001;-6.99997;6;-;-;-;-;-;-
2272;-66.969994;-9.99997;6;-;-;-;-;-;-
2273;-65.969994;-9.99997;6;-;-;-;-;-;-
2274;-64.969994;-9.99997;6;-;-;-;-;-;-
2275;-64.969994;-10.99997;6;-;-;-;-;-;-
2276;-65.969994;-10.99997;6;-;-;-;-;-;-
2277;-66.969994;-10.99997;6;-;-;-;-;-;-
2278;-63.970001;-6.99997;6;-;-;-;-;-;-
2279;-62.970001;-6.99997;6;-;-;-;-;-;-
2280;-63.970001;-7.99997;6;-;-;-;-;-;-
2281;-63.970001;-8.99997;6;-;-;-;-;-;-
2282;-62.970001;-7.99997;6;-;-;-;-;-;-
2283;-62.970001;-8.99997;6;-;-;-;-;-;-
2284;-63.970001;-9.99997;6;-;-;-;-;-;-
2285;-60.970001;-6.19997;6;-;-;-;-;-;-
2286;-61.970001;-10.99997;6;-;-;-;-;-;-
2287;-60.970001;-10.86667;6;-;-;-;-;-;-
2288;-61.169998;-11.79997;6;-;-;-;-;-;-
2289;-61.970001;-7.99997;6;-;-;-;-;-;-
2290;-60.970001;-8.06664;6;-;-;-;-;-;-
2291;-61.970001;-8.99997;6;-;-;-;-;-;-
2292;-60.970001;-8.99997;6;-;-;-;-;-;-
2293;-63.970001;-10.99997;6;-;-;-;-;-;-
2294;-62.970001;-9.99997;6;-;-;-;-;-;-
2295;-61.970001;-9.99997;6;-;-;-;-;-;-
2296;-62.970001;-10.99997;6;-;-;-;-;-;-
2297;-60.970001;-9.9333;6;-;-;-;-;-;-
2298;-60.970001;-11.79997;6;-;-;-;-;-;-
2299;-68.969994;-16.999969;6;-;-;-;-;-;-
2300;-69.769997;-17.799971;6;-;-;-;-;-;-
2301;-69.969994;-16.866671;6;-;-;-;-;-;-
2302;-69.769997;-12.19997;6;-;-;-;-;-;-
2303;-69.969994;-12.19997;6;-;-;-;-;-;-
2304;-68.969994;-12.99997;6;-;-;-;-;-;-
2305;-69.969994;-13.13327;6;-;-;-;-;-;-
2306;-68.969994;-13.99997;6;-;-;-;-;-;-
2307;-69.969994;-14.06667;6;-;-;-;-;-;-
2308;-67.969994;-12.99997;6;-;-;-;-;-;-
2309;-67.969994;-13.99997;6;-;-;-;-;-;-
2310;-67.969994;-14.99997;6;-;-;-;-;-;-
2311;-68.969994;-14.99997;6;-;-;-;-;-;-
2312;-69.969994;-14.99997;6;-;-;-;-;-;-
2313;-66.969994;-12.99997;6;-;-;-;-;-;-
2314;-65.969994;-12.99997;6;-;-;-;-;-;-
2315;-66.969994;-13.99997;6;-;-;-;-;-;-
2316;-66.969994;-14.99997;6;-;-;-;-;-;-
2317;-65.969994;-13.99997;6;-;-;-;-;-;-
2318;-64.969994;-12.99997;6;-;-;-;-;-;-
2319;-64.969994;-13.99997;6;-;-;-;-;-;-
2320;-65.969994;-14.99997;6;-;-;-;-;-;-
2321;-64.969994;-14.99997;6;-;-;-;-;-;-
2322;-67.969994;-15.99997;6;-;-;-;-;-;-
2323;-68.969994;-15.99997;6;-;-;-;-;-;-
2324;-69.969994;-15.93327;6;-;-;-;-;-;-
2325;-67.969994;-16.999969;6;-;-;-;-;-;-
2326;-69.969994;-17.799971;6;-;-;-;-;-;-
2327;-61.169998;-12.19997;6;-;-;-;-;-;-
2328;-60.970001;-13.13327;6;-;-;-;-;-;-
2329;-61.970001;-12.99997;6;-;-;-;-;-;-
2330;-66.969994;-15.99997;6;-;-;-;-;-;-
2331;-65.969994;-15.99997;6;-;-;-;-;-;-
2332;-64.969994;-15.99997;6;-;-;-;-;-;-
2333;-64.969994;-16.999969;6;-;-;-;-;-;-
2334;-65.969994;-16.999969;6;-;-;-;-;-;-
2335;-66.969994;-16.999969;6;-;-;-;-;-;-
2336;-63.970001;-12.99997;6;-;-;-;-;-;-
2337;-62.970001;-12.99997;6;-;-;-;-;-;-
2338;-63.970001;-13.99997;6;-;-;-;-;-;-
2339;-63.970001;-14.99997;6;-;-;-;-;-;-
2340;-62.970001;-13.99997;6;-;-;-;-;-;-
2341;-62.970001;-14.99997;6;-;-;-;-;-;-
2342;-63.970001;-15.99997;6;-;-;-;-;-;-
2343;-60.970001;-12.19997;6;-;-;-;-;-;-
2344;-61.970001;-16.999969;6;-;-;-;-;-;-
2345;-60.970001;-16.866671;6;-;-;-;-;-;-
2346;-61.169998;-17.799971;6;-;-;-;-;-;-
2347;-61.970001;-13.99997;6;-;-;-;-;-;-
2348;-60.970001;-14.06667;6;-;-;-;-;-;-
2349;-61.970001;-14.99997;6;-;-;-;-;-;-
2350;-60.970001;-14.99997;6;-;-;-;-;-;-
2351;-63.970001;-16.999969;6;-;-;-;-;-;-
2352;-62.970001;-15.99997;6;-;-;-;-;-;-
2353;-61.970001;-15.99997;6;-;-;-;-;-;-
2354;-62.970001;-16.999969;6;-;-;-;-;-;-
2355;-60.970001;-15.93327;6;-;-;-;-;-;-
2356;-60.970001;-17.799971;6;-;-;-;-;-;-
2357;-68.969994;-22.999969;6;-;-;-;-;-;-
2358;-69.769997;-23.799971;6;-;-;-;-;-;-
2359;-69.969994;-22.866671;6;-;-;-;-;-;-
2360;-69.769997;-18.19997;6;-;-;-;-;-;-
2361;-69.969994;-18.19997;6;-;-;-;-;-;-
2362;-68.969994;-18.999969;6;-;-;-;-;-;-
2363;-69.969994;-19.13327;6;-;-;-;-;-;-
2364;-68.969994;-19.999969;6;-;-;-;-;-;-
2365;-69.969994;-20.066669;6;-;-;-;-;-;-
2366;-68.969994;-20.999969;6;-;-;-;-;-;-
2367;-69.969994;-20.999969;6;-;-;-;-;-;-
2368;-67.969994;-19.999969;6;-;-;-;-;-;-
2369;-67.969994;-20.999969;6;-;-;-;-;-;-
2370;-68.969994;-21.999969;6;-;-;-;-;-;-
2371;-69.969994;-21.93327;6;-;-;-;-;-;-
2372;-67.969994;-18.999969;6;-;-;-;-;-;-
2373;-66.969994;-18.999969;6;-;-;-;-;-;-
2374;-65.969994;-18.999969;6;-;-;-;-;-;-
2375;-66.969994;-19.999969;6;-;-;-;-;-;-
2376;-65.969994;-19.999969;6;-;-;-;-;-;-
2377;-64.969994;-18.999969;6;-;-;-;-;-;-
2378;-64.969994;-19.999969;6;-;-;-;-;-;-
2379;-66.969994;-20.999969;6;-;-;-;-;-;-
2380;-64.969994;-20.999969;6;-;-;-;-;-;-
2381;-65.969994;-20.999969;6;-;-;-;-;-;-
2382;-67.969994;-21.999969;6;-;-;-;-;-;-
2383;-67.969994;-22.999969;6;-;-;-;-;-;-
2384;-69.969994;-23.799971;6;-;-;-;-;-;-
2385;-61.169998;-18.19997;6;-;-;-;-;-;-
2386;-60.970001;-19.13327;6;-;-;-;-;-;-
2387;-61.970001;-18.999969;6;-;-;-;-;-;-
2388;-66.969994;-21.999969;6;-;-;-;-;-;-
2389;-65.969994;-21.999969;6;-;-;-;-;-;-
2390;-64.969994;-21.999969;6;-;-;-;-;-;-
2391;-64.969994;-22.999969;6;-;-;-;-;-;-
2392;-65.969994;-22.999969;6;-;-;-;-;-;-
2393;-66.969994;-22.999969;6;-;-;-;-;-;-
2394;-63.970001;-18.999969;6;-;-;-;-;-;-
2395;-62.970001;-18.999969;6;-;-;-;-;-;-
2396;-63.970001;-19.999969;6;-;-;-;-;-;-
2397;-63.970001;-20.999969;6;-;-;-;-;-;-
2398;-62.970001;-19.999969;6;-;-;-;-;-;-
2399;-61.970001;-19.999969;6;-;-;-;-;-;-
2400;-62.970001;-20.999969;6;-;-;-;-;-;-
2401;-60.970001;-18.19997;6;-;-;-;-;-;-
2402;-61.970001;-22.999969;6;-;-;-;-;-;-
2403;-60.970001;-22.866671;6;-;-;-;-;-;-
2404;-61.169998;-23.799971;6;-;-;-;-;-;-
2405;-60.970001;-20.066669;6;-;-;-;-;-;-
2406;-60.970001;-20.999969;6;-;-;-;-;-;-
2407;-61.970001;-20.999969;6;-;-;-;-;-;-
2408;-63.970001;-21.999969;6;-;-;-;-;-;-
2409;-62.970001;-21.999969;6;-;-;-;-;-;-
2410;-61.970001;-21.999969;6;-;-;-;-;-;-
2411;-62.970001;-22.999969;6;-;-;-;-;-;-
2412;-63.970001;-22.999969;6;-;-;-;-;-;-
2413;-60.970001;-21.93327;6;-;-;-;-;-;-
2414;-60.970001;-23.799971;6;-;-;-;-;-;-
2415;-59.970001;-10.99997;6;-;-;-;-;-;-
2416;-60.77;-11.79997;6;-;-;-;-;-;-
2417;-60.77;-6.19997;6;-;-;-;-;-;-
2418;-59.970001;-6.99997;6;-;-;-;-;-;-
2419;-52.169998;-6.19997;6;-;-;-;-;-;-
2420;-51.96999;-7.1333;6;-;-;-;-;-;-
2421;-52.96999;-6.99997;6;-;-;-;-;-;-
2422;-59.970001;-7.99997;6;-;-;-;-;-;-
2423;-58.970001;-6.99997;6;-;-;-;-;-;-
2424;-58.970001;-7.99997;6;-;-;-;-;-;-
2425;-58.970001;-8.99997;6;-;-;-;-;-;-
2426;-59.970001;-8.99997;6;-;-;-;-;-;-
2427;-57.96999;-6.99997;6;-;-;-;-;-;-
2428;-56.96999;-6.99997;6;-;-;-;-;-;-
2429;-57.96999;-7.99997;6;-;-;-;-;-;-
2430;-57.96999;-8.99997;6;-;-;-;-;-;-
2431;-56.96999;-7.99997;6;-;-;-;-;-;-
2432;-55.96999;-6.99997;6;-;-;-;-;-;-
2433;-55.96999;-7.99997;6;-;-;-;-;-;-
2434;-56.96999;-8.99997;6;-;-;-;-;-;-
2435;-55.96999;-8.99997;6;-;-;-;-;-;-
2436;-58.970001;-9.99997;6;-;-;-;-;-;-
2437;-59.970001;-9.99997;6;-;-;-;-;-;-
2438;-58.970001;-10.99997;6;-;-;-;-;-;-
2439;-57.96999;-9.99997;6;-;-;-;-;-;-
2440;-56.96999;-9.99997;6;-;-;-;-;-;-
2441;-55.96999;-9.99997;6;-;-;-;-;-;-
2442;-55.96999;-10.99997;6;-;-;-;-;-;-
2443;-56.96999;-10.99997;6;-;-;-;-;-;-
2444;-57.96999;-10.99997;6;-;-;-;-;-;-
2445;-54.96999;-6.99997;6;-;-;-;-;-;-
2446;-53.96999;-6.99997;6;-;-;-;-;-;-
2447;-54.96999;-7.99997;6;-;-;-;-;-;-
2448;-54.96999;-8.99997;6;-;-;-;-;-;-
2449;-53.96999;-7.99997;6;-;-;-;-;-;-
2450;-53.96999;-8.99997;6;-;-;-;-;-;-
2451;-54.96999;-9.99997;6;-;-;-;-;-;-
2452;-51.96999;-6.19997;6;-;-;-;-;-;-
2453;-52.96999;-7.99997;6;-;-;-;-;-;-
2454;-51.96999;-8.06664;6;-;-;-;-;-;-
2455;-52.96999;-8.99997;6;-;-;-;-;-;-
2456;-51.96999;-8.99997;6;-;-;-;-;-;-
2457;-54.96999;-10.99997;6;-;-;-;-;-;-
2458;-53.96999;-9.99997;6;-;-;-;-;-;-
2459;-52.96999;-9.99997;6;-;-;-;-;-;-
2460;-53.96999;-10.99997;6;-;-;-;-;-;-
2461;-52.96999;-10.99997;6;-;-;-;-;-;-
2462;-51.96999;-9.9333;6;-;-;-;-;-;-
2463;-51.96999;-10.86667;6;-;-;-;-;-;-
2464;-52.169998;-11.79997;6;-;-;-;-;-;-
2465;-51.96999;-11.79997;6;-;-;-;-;-;-
2466;-60.77;-12.19997;6;-;-;-;-;-;-
2467;-59.970001;-12.99997;6;-;-;-;-;-;-
2468;-59.970001;-13.99997;6;-;-;-;-;-;-
2469;-58.970001;-12.99997;6;-;-;-;-;-;-
2470;-58.970001;-13.99997;6;-;-;-;-;-;-
2471;-58.970001;-14.99997;6;-;-;-;-;-;-
2472;-59.970001;-14.99997;6;-;-;-;-;-;-
2473;-52.169998;-12.19997;6;-;-;-;-;-;-
2474;-51.96999;-13.13327;6;-;-;-;-;-;-
2475;-52.96999;-12.99997;6;-;-;-;-;-;-
2476;-57.96999;-12.99997;6;-;-;-;-;-;-
2477;-56.96999;-12.99997;6;-;-;-;-;-;-
2478;-57.96999;-13.99997;6;-;-;-;-;-;-
2479;-57.96999;-14.99997;6;-;-;-;-;-;-
2480;-56.96999;-13.99997;6;-;-;-;-;-;-
2481;-55.96999;-12.99997;6;-;-;-;-;-;-
2482;-55.96999;-13.99997;6;-;-;-;-;-;-
2483;-56.96999;-14.99997;6;-;-;-;-;-;-
2484;-55.96999;-14.99997;6;-;-;-;-;-;-
2485;-58.970001;-15.99997;6;-;-;-;-;-;-
2486;-59.970001;-15.99997;6;-;-;-;-;-;-
2487;-59.970001;-16.999969;6;-;-;-;-;-;-
2488;-58.970001;-16.999969;6;-;-;-;-;-;-
2489;-60.77;-17.799971;6;-;-;-;-;-;-
2490;-57.96999;-15.99997;6;-;-;-;-;-;-
2491;-56.96999;-15.99997;6;-;-;-;-;-;-
2492;-55.96999;-15.99997;6;-;-;-;-;-;-
2493;-55.96999;-16.999969;6;-;-;-;-;-;-
2494;-56.96999;-16.999969;6;-;-;-;-;-;-
2495;-57.96999;-16.999969;6;-;-;-;-;-;-
2496;-54.96999;-12.99997;6;-;-;-;-;-;-
2497;-53.96999;-12.99997;6;-;-;-;-;-;-
2498;-54.96999;-13.99997;6;-;-;-;-;-;-
2499;-54.96999;-14.99997;6;-;-;-;-;-;-
2500;-53.96999;-13.99997;6;-;-;-;-;-;-
2501;-53.96999;-14.99997;6;-;-;-;-;-;-
